board,to_play,move_x,move_y
..........................................,X,3
......................................X...,O,3
...............................O......X...,X,3
........................X......O......X...,O,3
.................O......X......O......X...,X,3
..........X......O......X......O......X...,O,3
...O......X......O......X......O......X...,X,0
...O......X......O......X......O......X...,X,6
...O......X......O......X......O...X..X...,O,0
...O......X......O......X......O......X..X,O,6
...O......X......O......X...O..O...X..X...,X,0
...O......X......O......X......O..O...X..X,X,6
...O......X......O...X..X...O..O...X..X...,O,0
...O......X......O......X..X...O..O...X..X,O,6
...O......X...O..O...X..X...O..O...X..X...,X,0
...O......X......O..O...X..X...O..O...X..X,X,6
...O...X..X...O..O...X..X...O..O...X..X...,O,0
...O......X..X...O..O...X..X...O..O...X..X,O,6
O..O...X..X...O..O...X..X...O..O...X..X...,X,6
...O..O...X..X...O..O...X..X...O..O...X..X,X,0
O..O...X..X...O..O...X..X...O..O...X..X..X,O,6
...O..O...X..X...O..O...X..X...O..OX..X..X,O,0
O..O...X..X...O..O...X..X...O..O..OX..X..X,X,6
...O..O...X..X...O..O...X..XO..O..OX..X..X,X,0
O..O...X..X...O..O...X..X..XO..O..OX..X..X,O,6
...O..O...X..X...O..OX..X..XO..O..OX..X..X,O,0
O..O...X..X...O..O..OX..X..XO..O..OX..X..X,X,6
...O..O...X..XO..O..OX..X..XO..O..OX..X..X,X,0
O..O...X..X..XO..O..OX..X..XO..O..OX..X..X,O,6
...O..OX..X..XO..O..OX..X..XO..O..OX..X..X,O,0
O..O..OX..X..XO..O..OX..X..XO..O..OX..X..X,X,1
O..O..OX..X..XO..O..OX..X..XO..O..OX..X..X,X,5
O..O..OX..X..XO..O..OX..X..XO..O..OXX.X..X,O,1
O..O..OX..X..XO..O..OX..X..XO..O..OX..X.XX,O,5
O..O..OX..X..XO..O..OX..X..XOO.O..OXX.X..X,X,1
O..O..OX..X..XO..O..OX..X..XO..O.OOX..X.XX,X,5
O..O..OX..X..XO..O..OXX.X..XOO.O..OXX.X..X,O,1
O..O..OX..X..XO..O..OX..X.XXO..O.OOX..X.XX,O,5
O..O..OX..X..XOO.O..OXX.X..XOO.O..OXX.X..X,X,1
O..O..OX..X..XO..O.OOX..X.XXO..O.OOX..X.XX,X,5
O..O..OXX.X..XOO.O..OXX.X..XOO.O..OXX.X..X,O,1
O..O..OX..X.XXO..O.OOX..X.XXO..O.OOX..X.XX,O,5
OO.O..OXX.X..XOO.O..OXX.X..XOO.O..OXX.X..X,X,4
O..O.OOX..X.XXO..O.OOX..X.XXO..O.OOX..X.XX,X,2
OO.O..OXX.X..XOO.O..OXX.X..XOO.O..OXX.XX.X,O,4
O..O.OOX..X.XXO..O.OOX..X.XXO..O.OOX.XX.XX,O,2
OO.O..OXX.X..XOO.O..OXX.X..XOO.OO.OXX.XX.X,X,4
O..O.OOX..X.XXO..O.OOX..X.XXO.OO.OOX.XX.XX,X,2
OO.O..OXX.X..XOO.O..OXX.XX.XOO.OO.OXX.XX.X,O,4
O..O.OOX..X.XXO..O.OOX.XX.XXO.OO.OOX.XX.XX,O,2
OO.O..OXX.X..XOO.OO.OXX.XX.XOO.OO.OXX.XX.X,X,4
O..O.OOX..X.XXO.OO.OOX.XX.XXO.OO.OOX.XX.XX,X,2
OO.O..OXX.XX.XOO.OO.OXX.XX.XOO.OO.OXX.XX.X,O,4
O..O.OOX.XX.XXO.OO.OOX.XX.XXO.OO.OOX.XX.XX,O,2
OO.OO.OXX.XX.XOO.OO.OXX.XX.XOO.OO.OXX.XX.X,X,2
O.OO.OOX.XX.XXO.OO.OOX.XX.XXO.OO.OOX.XX.XX,X,4
.....................................OX...,X,3
......................................XO..,X,3
..............................OX.....OX...,X,3
...............................XO.....XO..,X,3
.......................OX.....OX.....OX...,X,3
........................XO.....XO.....XO..,X,3
