board,to_play,move_x,move_y
..........................................,X,2
..........................................,X,4
.....................................X....,O,2
.......................................X..,O,4
..............................O......X....,X,2
................................O......X..,X,4
.......................X......O......X....,O,2
.........................X......O......X..,O,4
................O......X......O......X....,X,2
..................O......X......O......X..,X,4
.........X......O......X......O......X....,O,2
...........X......O......X......O......X..,O,4
..O......X......O......X......O......X....,X,0
....O......X......O......X......O......X..,X,6
..O......X......O......X......O....X.X....,O,6
....O......X......O......X......O......X.X,O,0
..O......X......O......X......O....X.X...O,X,6
....O......X......O......X......O..O...X.X,X,0
..O......X......O......X......O...XX.X...O,O,6
....O......X......O......X..X...O..O...X.X,O,0
..O......X......O......X...O..O...XX.X...O,X,6
....O......X......O..O...X..X...O..O...X.X,X,0
..O......X......O...X..X...O..O...XX.X...O,O,6
....O......X..X...O..O...X..X...O..O...X.X,O,0
..O......X...O..O...X..X...O..O...XX.X...O,X,6
....O..O...X..X...O..O...X..X...O..O...X.X,X,0
..O...X..X...O..O...X..X...O..O...XX.X...O,O,0
X...O..O...X..X...O..O...X..X...O..O...X.X,O,6
..O...X..X...O..O...X..X...OO.O...XX.X...O,X,0
X...O..O...X..X...O..O...X..X...O.OO...X.X,X,6
..O...X..X...O..O...XX.X...OO.O...XX.X...O,O,0
X...O..O...X..X...O..O...X.XX...O.OO...X.X,O,6
..O...X..X...OO.O...XX.X...OO.O...XX.X...O,X,0
X...O..O...X..X...O.OO...X.XX...O.OO...X.X,X,6
..O...XX.X...OO.O...XX.X...OO.O...XX.X...O,O,0
X...O..O...X.XX...O.OO...X.XX...O.OO...X.X,O,6
O.O...XX.X...OO.O...XX.X...OO.O...XX.X...O,X,1
X...O.OO...X.XX...O.OO...X.XX...O.OO...X.X,X,5
O.O...XX.X...OO.O...XX.X...OO.O...XXXX...O,O,1
X...O.OO...X.XX...O.OO...X.XX...O.OO...XXX,O,5
O.O...XX.X...OO.O...XX.X...OOOO...XXXX...O,X,3
X...O.OO...X.XX...O.OO...X.XX...OOOO...XXX,X,3
