board,to_play,move_x,move_y
..........................................,X,3
.....................................OX...,X,3
......................................XO..,X,3
..............................OX.....OX...,X,3
...............................XO.....XO..,X,3
.......................OX.....OX.....OX...,X,3
........................XO.....XO.....XO..,X,3
.....................................X....,O,3
.......................................X..,O,3
..............................X......XO...,O,3
................................X.....OX..,O,3
.......................X......XO.....XO...,O,3
.........................X.....OX.....OX..,O,3
.......................XO.....XO.....XO.X.,O,1
........................OX.....OX...X.OX..,O,5
.......................XO.....XO...XOXO.X.,O,3
........................OX.....OX...X.OXOX,O,3
