board,to_play,move_x,move_y
..........................................,X,2
..........................................,X,4
.....................................XO...,X,5
......................................OX..,X,1
...............................O.....XO.X.,X,2
...............................O....X.OX..,X,4
........................O.....XO.....XO.X.,X,3
........................O......OX...X.OX..,X,3
.................X......O.....XO.....XO.XO,X,2
.................X......O......OX..OX.OX..,X,4
..........O......X.....XO.....XO.....XO.XO,X,6
..........O......X......OX.....OX..OX.OX..,X,0
...O......O......X.....XO.....XO..X..XO.XO,X,2
...O......O......X......OX..X..OX..OX.OX..,X,4
