board,to_play,move_x,move_y
..........................................,X,4
..........................................,X,2
................................O......X..,X,4
..............................O......X....,X,2
.........................X......O.....OX..,X,4
.......................X......O......XO...,X,2
..................X......X.....OO.....OX..,X,4
................X......X......OO.....XO...,X,2
...........X......X.....OX.....OO.....OX..,X,4
.........X......X......XO.....OO.....XO...,X,2
..........................................,X,6
..........................................,X,0
.........................................X,O,2
...................................X......,O,4
.....................................O...X,X,2
...................................X...O..,X,4
..............................X......O...X,O,2
................................X..X...O..,O,4
.......................O......X......O...X,X,2
.........................O......X..X...O..,X,4
................X......O......X......O...X,O,2
..................X......O......X..X...O..,O,4
.........O......X......O......X......O...X,X,4
...........O......X......O......X..X...O..,X,2
.........O......X......O......X......O.X.X,O,2
...........O......X......O......X..X.X.O..,O,4
..O......O......X......O......X......O.X.X,X,4
....O......O......X......O......X..X.X.O..,X,2
..O......O......X......O......X.X....O.X.X,O,4
....O......O......X......O....X.X..X.X.O..,O,2
..O......O......X......O.O....X.X....O.X.X,X,4
....O......O......X....O.O....X.X..X.X.O..,X,2
..O......O......X.X....O.O....X.X....O.X.X,O,4
....O......O....X.X....O.O....X.X..X.X.O..,O,2
..O......O.O....X.X....O.O....X.X....O.X.X,X,4
....O....O.O....X.X....O.O....X.X..X.X.O..,X,2
..O.X....O.O....X.X....O.O....X.X....O.X.X,O,6
..X.O....O.O....X.X....O.O....X.X..X.X.O..,O,0
..O.X....O.O....X.X....O.O....X.X.O..O.X.X,X,6
..X.O....O.O....X.X....O.O..O.X.X..X.X.O..,X,0
..O.X....O.O....X.X....O.O.X..X.X.O..O.X.X,O,6
..X.O....O.O....X.X..X.O.O..O.X.X..X.X.O..,O,0
..O.X....O.O....X.X.O..O.O.X..X.X.O..O.X.X,X,6
..X.O....O.O..O.X.X..X.O.O..O.X.X..X.X.O..,X,0
..O.X....O.O.X..X.X.O..O.O.X..X.X.O..O.X.X,O,6
..X.O..X.O.O..O.X.X..X.O.O..O.X.X..X.X.O..,O,0
..O.X.O..O.O.X..X.X.O..O.O.X..X.X.O..O.X.X,X,0
O.X.O..X.O.O..O.X.X..X.O.O..O.X.X..X.X.O..,X,6
..O.X.O..O.O.X..X.X.O..O.O.X..X.X.OX.O.X.X,O,0
O.X.O..X.O.O..O.X.X..X.O.O..O.X.X..X.X.O.X,O,6
..O.X.O..O.O.X..X.X.O..O.O.XO.X.X.OX.O.X.X,X,0
O.X.O..X.O.O..O.X.X..X.O.O..O.X.X.OX.X.O.X,X,6
..O.X.O..O.O.X..X.X.OX.O.O.XO.X.X.OX.O.X.X,O,0
O.X.O..X.O.O..O.X.X..X.O.O.XO.X.X.OX.X.O.X,O,6
..O.X.O..O.O.XO.X.X.OX.O.O.XO.X.X.OX.O.X.X,X,0
O.X.O..X.O.O..O.X.X.OX.O.O.XO.X.X.OX.X.O.X,X,6
..O.X.OX.O.O.XO.X.X.OX.O.O.XO.X.X.OX.O.X.X,O,0
O.X.O..X.O.O.XO.X.X.OX.O.O.XO.X.X.OX.X.O.X,O,6
O.O.X.OX.O.O.XO.X.X.OX.O.O.XO.X.X.OX.O.X.X,X,3
O.X.O.OX.O.O.XO.X.X.OX.O.O.XO.X.X.OX.X.O.X,X,3
O.O.X.OX.O.O.XO.X.X.OX.O.O.XO.X.X.OX.OXX.X,O,3
O.X.O.OX.O.O.XO.X.X.OX.O.O.XO.X.X.OX.XXO.X,O,3
O.O.X.OX.O.O.XO.X.X.OX.O.O.XO.XOX.OX.OXX.X,X,3
O.X.O.OX.O.O.XO.X.X.OX.O.O.XO.XOX.OX.XXO.X,X,3
O.O.X.OX.O.O.XO.X.X.OX.OXO.XO.XOX.OX.OXX.X,O,1
O.X.O.OX.O.O.XO.X.X.OX.OXO.XO.XOX.OX.XXO.X,O,5
O.O.X.OX.O.O.XO.X.X.OX.OXO.XO.XOX.OXOOXX.X,X,3
O.X.O.OX.O.O.XO.X.X.OX.OXO.XO.XOX.OX.XXOOX,X,3
O.O.X.OX.O.O.XO.XXX.OX.OXO.XO.XOX.OXOOXX.X,O,3
O.X.O.OX.O.O.XO.XXX.OX.OXO.XO.XOX.OX.XXOOX,O,3
O.O.X.OX.OOO.XO.XXX.OX.OXO.XO.XOX.OXOOXX.X,X,1
O.X.O.OX.OOO.XO.XXX.OX.OXO.XO.XOX.OX.XXOOX,X,5
O.O.X.OX.OOO.XO.XXX.OX.OXO.XOXXOX.OXOOXX.X,O,3
O.X.O.OX.OOO.XO.XXX.OX.OXO.XO.XOXXOX.XXOOX,O,3
O.OOX.OX.OOO.XO.XXX.OX.OXO.XOXXOX.OXOOXX.X,X,1
O.XOO.OX.OOO.XO.XXX.OX.OXO.XO.XOXXOX.XXOOX,X,5
O.OOX.OX.OOO.XO.XXX.OXXOXO.XOXXOX.OXOOXX.X,O,1
O.XOO.OX.OOO.XO.XXX.OX.OXOXXO.XOXXOX.XXOOX,O,5
O.OOX.OX.OOO.XOOXXX.OXXOXO.XOXXOX.OXOOXX.X,X,1
O.XOO.OX.OOO.XO.XXXOOX.OXOXXO.XOXXOX.XXOOX,X,5
