board,to_play,move_x,move_y
..........................................,X,2
..........................................,X,4
..............................O......X....,X,2
................................O......X..,X,4
.......................X......O......XO...,X,2
.........................X......O.....OX..,X,4
................X......X......O......XOO..,X,2
..................X......X......O....OOX..,X,4
.........X......X......X......OO.....XOO..,X,2
...........X......X......X.....OO....OOX..,X,4
.....................................X....,O,1
.......................................X..,O,5
....................................OX....,X,2
.......................................XO.,X,4
..............................X.....OX....,O,2
................................X......XO.,O,4
.......................O......X.....OX....,X,2
.........................O......X......XO.,X,4
................X......O......X.....OX....,O,2
..................X......O......X......XO.,O,4
.........O......X......O......X.....OX....,X,0
...........O......X......O......X......XO.,X,6
.........O......X......O......X....XOX....,O,0
...........O......X......O......X......XOX,O,6
.........O......X......O....O.X....XOX....,X,0
...........O......X......O......X.O....XOX,X,6
.........O......X....X.O....O.X....XOX....,O,0
...........O......X......O.X....X.O....XOX,O,6
.........O....O.X....X.O....O.X....XOX....,X,0
...........O......X.O....O.X....X.O....XOX,X,6
.......X.O....O.X....X.O....O.X....XOX....,O,0
...........O.X....X.O....O.X....X.O....XOX,O,6
O......X.O....O.X....X.O....O.X....XOX....,X,6
......O....O.X....X.O....O.X....X.O....XOX,X,0
O......X.O....O.X....X.O....O.X....XOX...X,O,6
......O....O.X....X.O....O.X....X.OX...XOX,O,0
O......X.O....O.X....X.O....O.X...OXOX...X,X,3
......O....O.X....X.O....O.XO...X.OX...XOX,X,3
O......X.O....O.X....X.O....O.X...OXOXX..X,O,6
......O....O.X....X.O....O.XO...X.OX..XXOX,O,0
O......X.O....O.X....X.O...OO.X...OXOXX..X,X,6
......O....O.X....X.OO...O.XO...X.OX..XXOX,X,0
O......X.O....O.X...XX.O...OO.X...OXOXX..X,O,6
......O....O.XX...X.OO...O.XO...X.OX..XXOX,O,0
O......X.O...OO.X...XX.O...OO.X...OXOXX..X,X,6
......OO...O.XX...X.OO...O.XO...X.OX..XXOX,X,0
O.....XX.O...OO.X...XX.O...OO.X...OXOXX..X,O,2
X.....OO...O.XX...X.OO...O.XO...X.OX..XXOX,O,4
O.O...XX.O...OO.X...XX.O...OO.X...OXOXX..X,X,1
X...O.OO...O.XX...X.OO...O.XO...X.OX..XXOX,X,5
O.O...XX.O...OO.X...XX.O...OOXX...OXOXX..X,O,4
X...O.OO...O.XX...X.OO...O.XO...XXOX..XXOX,O,2
O.O...XX.O...OO.X...XX.O...OOXX...OXOXXO.X,X,4
X...O.OO...O.XX...X.OO...O.XO...XXOX.OXXOX,X,2
O.O...XX.O...OO.X...XX.O...OOXX.X.OXOXXO.X,O,4
X...O.OO...O.XX...X.OO...O.XO.X.XXOX.OXXOX,O,2
O.O...XX.O...OO.X...XX.O.O.OOXX.X.OXOXXO.X,X,4
X...O.OO...O.XX...X.OO.O.O.XO.X.XXOX.OXXOX,X,2
O.O...XX.O...OO.X.X.XX.O.O.OOXX.X.OXOXXO.X,O,4
X...O.OO...O.XX.X.X.OO.O.O.XO.X.XXOX.OXXOX,O,2
O.O...XX.O.O.OO.X.X.XX.O.O.OOXX.X.OXOXXO.X,X,4
X...O.OO.O.O.XX.X.X.OO.O.O.XO.X.XXOX.OXXOX,X,2
O.O.X.XX.O.O.OO.X.X.XX.O.O.OOXX.X.OXOXXO.X,O,1
X.X.O.OO.O.O.XX.X.X.OO.O.O.XO.X.XXOX.OXXOX,O,5
O.O.X.XX.O.O.OO.X.X.XXOO.O.OOXX.X.OXOXXO.X,X,3
X.X.O.OO.O.O.XX.X.X.OO.O.OOXO.X.XXOX.OXXOX,X,3
